Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric",123.730000,-93.380376,90.000000,top
"C2","33uF","C_1206_3216Metric",109.150000,-109.300000,-90.000000,top
"C3","1uF","C_0603_1608Metric",115.775000,-88.250000,180.000000,top
"C4","10uF","C_0603_1608Metric",114.400000,-105.050000,90.000000,top
"C5","10nF","C_0603_1608Metric",113.212500,-90.962500,90.000000,top
"C6","1uF","C_0603_1608Metric",118.212500,-90.962500,90.000000,top
"C7","33pF","C_0603_1608Metric",106.400000,-98.625000,-90.000000,top
"C8","33uF","C_1206_3216Metric",115.150000,-97.300000,0.000000,top
"C9","33uF","C_1206_3216Metric",115.150000,-94.800000,0.000000,top
"C10","33pF","C_0603_1608Metric",95.650000,-97.075000,180.000000,top
"C11","33pF","C_0603_1608Metric",81.750000,-94.750000,180.000000,top
"D1","3.6v","D_SOD-323_HandSoldering",81.250000,-102.150000,-90.000000,top
"D2","3.6v","D_SOD-323_HandSoldering",81.250000,-97.900000,90.000000,top
"D3","D_Schottky","D_SOD-123",95.925000,-104.175000,-90.000000,top
"D4","D_Schottky","D_SOD-123",102.925000,-103.175000,180.000000,top
"D5","D_Schottky","D_SOD-123",117.650000,-101.050000,-90.000000,top
"F1","500mA","Fuse_1206_3216Metric",81.000000,-105.500000,180.000000,top
"J1","Conn_01x02_Female","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",120.380000,-108.790303,0.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",72.000000,-100.000000,-90.000000,top
"J3","Conn_01x03","JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",102.500000,-109.700000,180.000000,top
"J4","Conn_01x04","JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical",90.450000,-103.750000,90.000000,top
"J5","Conn_01x11","JST_EH_B11B-EH-A_1x11_P2.50mm_Vertical",81.300000,-88.600000,0.000000,top
"L1","6.8uH","L_1210_3225Metric",112.900000,-108.800000,0.000000,top
"L2","6.8uH","L_1210_3225Metric",114.650000,-101.050000,-90.000000,top
"Q1","Q_NMOS_GSD","SOT-23",121.030000,-100.943876,90.000000,top
"Q2","Q_NMOS_GSD","SOT-23",120.980000,-92.894376,90.000000,top
"R1","3k","R_0603_1608Metric",79.610000,-109.090000,90.000000,top
"R2","2.7k","R_0603_1608Metric",123.730000,-100.448876,-90.000000,top
"R3","5.1k","R_0603_1608Metric",85.000000,-97.250000,180.000000,top
"R4","5.1k","R_0603_1608Metric",85.000000,-104.000000,180.000000,top
"R5","330R","R_0603_1608Metric",125.440000,-96.930000,-90.000000,top
"R6","1.5k","R_0603_1608Metric",85.000000,-102.300000,0.000000,top
"R7","75R","R_0603_1608Metric",85.000000,-100.770000,180.000000,top
"R8","75R","R_0603_1608Metric",85.000000,-99.240000,180.000000,top
"R9","5k","R_0603_1608Metric",78.000000,-109.100000,90.000000,top
"R10","10k","R_0603_1608Metric",98.925000,-105.425000,0.000000,top
"R11","10k","R_0603_1608Metric",102.175000,-105.425000,180.000000,top
"R12","10k","R_0603_1608Metric",98.925000,-103.675000,0.000000,top
"R13","80k","R_0603_1608Metric",108.150000,-105.300000,90.000000,top
"R14","150k","R_0603_1608Metric",108.150000,-98.625000,-90.000000,top
"R15","91k","R_0603_1608Metric",108.150000,-101.875000,-90.000000,top
"R16","460k","R_0603_1608Metric",98.900000,-98.725000,180.000000,top
"R17","100k","R_0603_1608Metric",95.650000,-98.725000,180.000000,top
"R18","460k","R_0603_1608Metric",85.000000,-94.750000,180.000000,top
"R19","100k","R_0603_1608Metric",81.750000,-93.000000,180.000000,top
"R20","10k","R_0603_1608Metric",86.500000,-105.750000,180.000000,top
"U1","MCP73831-5-OT","SOT-23-5",82.250000,-109.200000,90.000000,top
"U2","AP9101CK","SOT-23-5",122.330000,-96.892876,180.000000,top
"U3","LM2621","VSSOP-8_3.0x3.0mm_P0.65mm",110.900000,-103.300000,-90.000000,top
"U4","LDK130-33_SOT23_SOT353","SOT-353_SC-70-5",115.712500,-90.962500,-90.000000,top
